design_id,status,source_file,projection,width_mm,height_mm,thickness_mm,area_mm2,svg_file,error
50305,exact,parts/50305.dat,XZ,24.2,64.2,4.8,1152.0,svg/50305.svg,
50950,exact,parts/50950.dat,XZ,8.2,24.2,9.6,192.0,svg/50950.svg,
54200,exact,parts/54200.dat,XZ,8.2,8.2,6.24,64.0,svg/54200.svg,
55013,exact,parts/55013.dat,XZ,64.2,6.6,6.4,308.48,svg/55013.svg,
55982,exact,parts/55982.dat,XY,17.004,17.004,14.8,216.022,svg/55982.svg,
57028,relationship_alias,parts/32074c01.dat,YZ,31.4,43.4,16.0,888.489,svg/57028.svg,
57519,exact,parts/57519.dat,XY,40.998,40.661,14.56,1227.83,svg/57519.svg,
57796,relationship_alias,parts/32074c01.dat,YZ,31.4,43.4,16.0,888.489,svg/57796.svg,
59426,exact,parts/59426.dat,XZ,44.2,6.6,6.4,212.48,svg/59426.svg,
59443,exact,parts/59443.dat,YZ,7.18,16.2,6.8,111.672,svg/59443.svg,
60474,exact,parts/60474.dat,XZ,32.2,32.2,4.8,801.949,svg/60474.svg,
60484,exact,parts/60484.dat,XZ,23.404,23.402,8.0,263.996,svg/60484.svg,
60485,exact,parts/60485.dat,XZ,72.2,5.0,4.8,345.6,svg/60485.svg,
61408,relationship_alias,parts/33299a.dat,YZ,16.2,23.0,7.2,159.363,svg/61408.svg,
63864,exact,parts/63864.dat,XZ,24.2,8.2,3.2,192.0,svg/63864.svg,
64225,exact,parts/64225.dat,XZ,32.277,24.2,9.6,576.0,svg/64225.svg,
64289,exact,parts/64289.dat,YZ,8.2,71.4,7.2,569.6,svg/64289.svg,
65155,design_alias,parts/6249.dat,XZ,48.2,16.2,11.2,586.748,svg/65155.svg,
65458,design_alias,parts/11476.dat,XZ,16.2,13.812,5.958,145.958,svg/65458.svg,
65765,design_alias,parts/44225.dat,XZ,24.2,47.802,8.0,618.599,svg/65765.svg,
66906,exact,parts/66906.dat,XY,15.402,6.604,6.4,73.848,svg/66906.svg,
67324,design_alias,parts/15456.dat,XZ,16.2,27.402,6.4,303.191,svg/67324.svg,
