SetNumber,ElementID,Qty,Colour,Category,DesignID,ElementName,ImageURL,ElementSetCount,GeometryStatus,Projection,WidthMM,HeightMM,ThicknessMM,StorageMode,RecommendedDepthMM,FloorWidthMM,FloorHeightMM,FloorAreaMM2
17101-1,4180548,4,Black,Bricks,44126,BRICK 2 X 6 W. BOW,/cdn/product-assets/element.img.lod5photo.192x192/4180548.jpg,58,exact,XZ,16.2,48.2,11.2,edge_magazine,42.0,20.2,52.2,1054.44
17101-1,4205760,2,Black,Vehicles & Transportation,3743,"TOOTHED BAR M=1, Z=10",/cdn/product-assets/element.img.lod5photo.192x192/4205760.jpg,74,exact,XZ,32.2,8.2,5.6,shadow_stack,13.2,36.2,16.0,579.2
17101-1,4213374,2,Black,Bricks,47455,JOINT LINK W. BUSH,/cdn/product-assets/element.img.lod5photo.192x192/4213374.jpg,212,exact,XZ,22.974,13.798,13.6,shadow_stack,29.2,26.97,17.8,480.09
17101-1,4243819,4,Black,Plates,3031,PLATE 4X4,/cdn/cs/set/assets/blt00da09df50c8de05/4243819.jpg,607,exact,XZ,32.2,32.2,4.8,shadow_stack,21.2,36.2,36.2,1310.44
17101-1,4251393,1,Black,Plates,50304,RIGHT PLATE 3X8 W/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/4251393.jpg,74,exact,XZ,24.2,64.2,4.8,shadow_stack,6.8,28.2,68.2,1923.24
17101-1,4251394,1,Black,Plates,50305,LEFT PLATE 3X8 W/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/4251394.jpg,73,exact,XZ,24.2,64.2,4.8,shadow_stack,6.8,28.2,68.2,1923.24
17101-1,4560182,1,Black,Plates,87079,FLAT TILE 2X4,/cdn/product-assets/element.img.lod5photo.192x192/4560182.jpg,740,exact,XZ,32.2,16.2,3.2,shadow_stack,5.2,36.2,20.2,731.24
17101-1,4613153,2,Black,Bricks,93273,PLATE W. BOW 1X4X2/3,/cdn/cs/set/assets/blt1e614eac65fff277/4613153.jpg,355,exact,XZ,8.2,32.2,6.4,shadow_stack,14.8,16.0,36.2,579.2
17101-1,4619323,2,Black,Vehicles & Transportation,92402,"TYRE NORMAL WIDE Ã˜30,4X14",/cdn/product-assets/element.img.lod5photo.192x192/4619323.jpg,195,exact,XY,30.601,30.601,13.6,shadow_stack,29.2,34.6,34.6,1197.2
17101-1,6000650,10,Black,Plates,99207,ANGULAR PLATE 1.5 BOT. 1X2 2/2,/cdn/product-assets/element.img.lod5photo.192x192/6000650.jpg,625,exact,XY,16.2,16.2,11.2,edge_magazine,42.0,20.2,20.2,408.04
17101-1,6097664,2,Black,Vehicles & Transportation,2515,WHEEL Ø56,/cdn/product-assets/element.img.lod5photo.192x192/6097664.jpg,6,prefix,XY,56.198,56.198,32.0,edge_magazine,42.0,60.2,60.2,3623.77
17101-1,6101857,6,Black,Plates,30565,"PLATE 4X4, 1/4 CIRCLE",/cdn/product-assets/element.img.lod5photo.192x192/6101857.jpg,74,exact,XZ,32.21,32.21,4.8,shadow_stack,30.8,36.21,36.21,1311.19
17101-1,6131571,1,Black,Bricks,22889,INV. ROOF 2X6 45 DEG. W/CUT,/cdn/product-assets/element.img.lod5photo.192x192/6131571.jpg,68,exact,XZ,16.2,48.2,11.2,shadow_stack,13.2,20.2,52.2,1054.44
17101-1,6143851,4,Black,Bricks,2743,"WING SECTION, FRONT",/cdn/product-assets/element.img.lod5photo.192x192/6143851.jpg,3,exact,XY,32.2,16.2,8.0,shadow_stack,34.0,36.2,20.2,731.24
17101-1,6151289,2,Black,Minifigure Accessories,6190,TELEPHONE RECEIVER,/cdn/product-assets/element.img.lod5photo.192x192/6151289.jpg,40,exact,XY,22.6,6.649,6.4,shadow_stack,14.8,26.6,16.0,425.6
17101-1,6179182,4,Black,Miscellaneous,25214,"DESIGN SHAPE W/ TUBE, CROSSHOLE",/cdn/product-assets/element.img.lod5photo.192x192/6179182.jpg,57,exact,XZ,16.2,16.2,8.0,shadow_stack,34.0,20.2,20.2,408.04
17101-1,6192309,2,Black,Plates,28809,"PLATE 1x2 W. HORIZONTAL HOLE Ã˜4,85 REV.",/cdn/product-assets/element.img.lod5photo.192x192/6192309.jpg,194,exact,XZ,16.2,8.2,9.2,shadow_stack,20.4,20.2,16.0,323.2
17101-1,6252319,1,Black,Bricks,35320,DOME Ø32,/cdn/product-assets/element.img.lod5photo.192x192/6252319.jpg,4,design_alias,XZ,32.2,32.2,16.0,shadow_stack,18.0,36.2,36.2,1310.47
17101-1,6275401,2,Black,Plates,41822,PLATE 4X4 W/ANGLE,/cdn/product-assets/element.img.lod5photo.192x192/6275401.jpg,38,design_alias,XZ,32.2,32.2,4.8,shadow_stack,11.6,36.2,36.2,1310.44
17101-1,6284070,3,Black,Plates,35381,"FLAT TILE 1X1, ROUND",/cdn/product-assets/element.img.lod5photo.192x192/6284070.jpg,359,design_alias,XZ,8.204,8.204,3.2,shadow_stack,11.6,16.0,16.0,256.0
17101-1,6359224,1,Black,Plates,67324,PLATE 2X2 W. BALL,/cdn/product-assets/element.img.lod5photo.192x192/6359224.jpg,52,design_alias,XZ,16.2,27.402,6.4,shadow_stack,8.4,20.2,31.4,634.32
17101-1,6448318,1,Black,Plates,3768,PLATE 2X2 W. BALL,/cdn/product-assets/element.img.lod5photo.192x192/6448318.jpg,102,design_alias,XZ,16.2,27.402,6.4,shadow_stack,8.4,20.2,31.4,634.32
17101-1,370826,1,Black,Connectors,3708,CROSS AXLE 12M,/cdn/product-assets/element.img.lod5photo.192x192/370826.jpg,478,exact,XZ,96.2,5.0,4.8,shadow_stack,6.8,100.2,16.0,1603.2
17101-1,4121715,27,Black,Connectors,2780,CONNECTOR PEG W. FRICTION,/cdn/cs/set/assets/blt935b4468e2952081/4121715.jpg,2207,exact,XZ,16.2,6.6,6.241,deep_counted_bin,42.0,20.2,16.0,323.2
17101-1,4177431,2,Black,Vehicles & Transportation,32270,DOUBLE CONICAL WHEEL Z12 1M,/cdn/product-assets/element.img.lod5photo.192x192/4177431.jpg,599,exact,YZ,13.8,8.2,13.6,shadow_stack,29.2,17.8,16.0,284.8
17101-1,4198367,6,Black,Connectors,45590,DAMPER 2M,/cdn/product-assets/element.img.lod5photo.192x192/4198367.jpg,267,exact,XZ,15.4,8.2,7.2,edge_magazine,42.0,19.4,16.0,310.4
17101-1,4255563,1,Black,Vehicles & Transportation,32498,DOUBLE CONICAL WHEEL Z36,/cdn/product-assets/element.img.lod5photo.192x192/4255563.jpg,73,exact,XY,37.77,37.801,8.0,shadow_stack,10.0,41.77,41.8,1746.02
17101-1,4495935,3,Black,Technic Beams,32524,TECHNIC 7M BEAM,/cdn/cs/set/assets/bltf07ddceda1958163/4495935.jpg,309,exact,YZ,8.2,55.4,7.2,shadow_stack,23.6,16.0,59.4,950.4
17101-1,4582792,2,Black,Vehicles & Transportation,57519,"Sprocket, ø40,7",/cdn/product-assets/element.img.lod5photo.192x192/4582792.jpg,16,exact,XY,40.998,40.661,14.56,shadow_stack,31.12,45.0,44.66,2009.64
17101-1,4629921,1,Black,Miscellaneous,32005,"TRACK ROD 6M,",/cdn/product-assets/element.img.lod5photo.192x192/4629921.jpg,72,exact,XZ,8.204,48.204,4.8,shadow_stack,6.8,16.0,52.2,835.26
17101-1,4662228,2,Black,Vehicles & Transportation,75903,"SPROCKET, Ã˜25,8",/cdn/product-assets/element.img.lod5photo.192x192/4662228.jpg,44,design_alias,XY,25.8,25.379,8.0,shadow_stack,18.0,29.8,29.38,875.51
17101-1,6089119,4,Black,Connectors,18651,Cross axle 2m w. snap w. fric.,/cdn/product-assets/element.img.lod5photo.192x192/6089119.jpg,698,exact,XZ,24.2,6.6,6.4,shadow_stack,27.6,28.2,16.0,451.2
17101-1,6173119,4,Black,Connectors,29219,"TUBE, W/ DOUBLE 4.85 HOLE",/cdn/product-assets/element.img.lod5photo.192x192/6173119.jpg,268,exact,XZ,16.2,7.4,7.201,shadow_stack,30.8,20.2,16.0,323.2
17101-1,6273708,3,Black,Technic Beams,42796,CROSS BLOCK 3M,/cdn/product-assets/element.img.lod5photo.192x192/6273708.jpg,121,design_alias,YZ,23.402,8.2,8.0,shadow_stack,26.0,27.4,16.0,438.43
17101-1,6278412,1,Black,Technic Beams,49137,BEAM 3M Ã˜4.85 W. FORK,/cdn/product-assets/element.img.lod5photo.192x192/6278412.jpg,78,design_alias,YZ,23.8,24.2,7.2,shadow_stack,9.2,27.8,28.2,783.96
17101-1,6325504,38,Black,Vehicles & Transportation,42479,"TRACK ELEMENT, 5x1,5",/cdn/product-assets/element.img.lod5photo.192x192/6325504.jpg,16,design_alias,XZ,38.6,18.12,8.4,deep_counted_bin,42.0,42.6,22.12,942.31
17101-1,6326620,1,Black,Miscellaneous,39892,UPPER PART FOR TURNTABLE z28,/cdn/product-assets/element.img.lod5photo.192x192/6326620.jpg,39,design_alias,XZ,29.642,29.642,15.6,shadow_stack,17.6,33.64,33.64,1131.76
17101-1,6344752,2,Black,Connectors,66906,BALL WITH FRICTION SNAP,/cdn/product-assets/element.img.lod5photo.192x192/6344752.jpg,247,exact,XY,15.402,6.604,6.4,shadow_stack,14.8,19.4,16.0,310.43
17101-1,6457282,2,Black,Vehicles & Transportation,4296,"TOOTHED BAR M=1, Z=10",/cdn/product-assets/element.img.lod5photo.192x192/6457282.jpg,33,design_alias,XZ,32.2,8.2,5.6,shadow_stack,13.2,36.2,16.0,579.2
17101-1,4523145,4,Brick Yellow,Bricks,32000,"BRICK 1X2 W. 2 HOLES Ã˜ 4,87",/cdn/product-assets/element.img.lod5photo.192x192/4523145.jpg,113,exact,XY,16.2,11.4,8.0,shadow_stack,34.0,20.2,16.0,323.2
17101-1,6313119,1,Brick Yellow,Plates,65458,PLATE 1X2 W. 1 HORIZONTAL SNAP,/cdn/product-assets/element.img.lod5photo.192x192/6313119.jpg,93,design_alias,XZ,16.2,13.812,5.958,shadow_stack,7.96,20.2,17.81,359.8
17101-1,4565452,1,Brick Yellow,Vehicles & Transportation,6589,CONICAL WHEEL Z12,/cdn/product-assets/element.img.lod5photo.192x192/4565452.jpg,402,exact,XY,13.0,13.0,4.0,shadow_stack,6.0,17.0,17.0,289.01
17101-1,4666579,2,Brick Yellow,Connectors,6562,CONNECTOR PEG/CROSS AXLE,/cdn/cs/set/assets/blt31dd0cbe448ff6e3/4666579.jpg,1036,exact,XZ,16.2,6.6,6.4,shadow_stack,14.8,20.2,16.0,323.2
17101-1,4666999,1,Brick Yellow,Connectors,99008,KRYDSAKSEL M/STOP 4M,/cdn/product-assets/element.img.lod5photo.192x192/4666999.jpg,176,exact,XZ,32.2,5.0,4.8,shadow_stack,6.8,36.2,16.0,579.2
17101-1,6031962,1,Brick Yellow,Vehicles & Transportation,32198,BEVEL GEAR Z20,/cdn/product-assets/element.img.lod5photo.192x192/6031962.jpg,106,exact,XY,21.0,21.0,4.0,shadow_stack,6.0,25.0,25.0,625.0
17101-1,6167923,2,Brick Yellow,Technic Beams,18654,BEAM 1X1,/cdn/product-assets/element.img.lod5photo.192x192/6167923.jpg,35,exact,YZ,8.2,7.4,7.2,shadow_stack,16.4,16.0,16.0,256.0
17101-1,306823,1,Bright Blue,Plates,3068,FLAT TILE 2X2,/cdn/cs/set/assets/bltda3c712d19bcebc1/306823.jpg,237,exact,XZ,16.2,16.2,3.2,shadow_stack,5.2,20.2,20.2,408.04
17101-1,4560180,1,Bright Blue,Plates,87079,FLAT TILE 2X4,/cdn/cs/set/assets/blt0bc951bf25a9db69/4560180.jpg,164,exact,XZ,32.2,16.2,3.2,shadow_stack,5.2,36.2,20.2,731.24
17101-1,4143005,19,Bright Blue,Connectors,4274,CONNECTOR PEG W. KNOB,/cdn/cs/set/assets/bltc147c3c54ad1919b/4143005.jpg,949,exact,XZ,9.8,6.6,6.4,deep_counted_bin,42.0,16.0,16.0,256.0
17101-1,4206482,10,Bright Blue,Connectors,43093,CONN.BUSH W.FRIC./CROSSALE,/cdn/cs/set/assets/bltbb48cde4adaa84c6/4206482.jpg,2330,exact,XZ,16.2,6.6,6.4,edge_magazine,42.0,20.2,16.0,323.2
17101-1,4514553,15,Bright Blue,Connectors,6558,CONNECTOR PEG W. FRICTION 3M,/cdn/product-assets/element.img.lod5photo.192x192/4514553.jpg,818,exact,XZ,24.2,6.6,6.241,deep_counted_bin,42.0,28.2,16.0,451.2
17101-1,4158355,7,Bright Orange,Plates,3020,PLATE 2X4,/cdn/cs/set/assets/blt910206eaa7a45c8f/4158355.jpg,317,exact,XZ,32.2,16.2,4.8,shadow_stack,35.6,36.2,20.2,731.24
17101-1,4159007,8,Bright Orange,Plates,3022,PLATE 2X2,/cdn/cs/set/assets/blt27576e0a8c6b81ed/4159007.jpg,332,exact,XZ,16.2,16.2,4.8,shadow_stack,40.4,20.2,20.2,408.04
17101-1,4160593,10,Bright Orange,Plates,2431,FLAT TILE 1X4,/cdn/product-assets/element.img.lod5photo.192x192/4160593.jpg,111,exact,XZ,32.2,8.2,3.2,shadow_stack,34.0,36.2,16.0,579.2
17101-1,4173332,4,Bright Orange,Plates,3666,PLATE 1X6,/cdn/cs/set/assets/blte2ed13dd228bdc10/4173332.jpg,157,exact,XZ,48.2,8.2,4.8,shadow_stack,21.2,52.2,16.0,835.2
17101-1,4188771,11,Bright Orange,Plates,3069,FLAT TILE 1X2,/cdn/cs/set/assets/blt86cfdd3449a66cdf/4188771.jpg,216,exact,XZ,16.2,8.2,3.2,shadow_stack,37.2,20.2,16.0,323.2
17101-1,6057921,2,Bright Orange,Animals & Nature,11100,WING W/SHAFT 4MM,/cdn/product-assets/element.img.lod5photo.192x192/6057921.jpg,9,exact,YZ,27.569,24.978,3.2,shadow_stack,8.4,31.57,28.98,914.81
17101-1,6062601,3,Bright Orange,Bricks,14918,NOSE CONE 2X2X2,/cdn/product-assets/element.img.lod5photo.192x192/6062601.jpg,45,exact,XY,16.2,21.0,16.0,edge_magazine,42.0,20.2,25.0,505.0
17101-1,6120639,4,Bright Orange,Bricks,17485,"BRICK 2X2 ROUND WITH HOLE Ã˜4,85",/cdn/product-assets/element.img.lod5photo.192x192/6120639.jpg,15,exact,XZ,16.204,16.204,11.2,edge_magazine,42.0,20.2,20.2,408.21
17101-1,6147052,12,Bright Orange,Plates,15535,FLAT TILE 2X2 ROUND W. HOLE Ã˜4.85,/cdn/product-assets/element.img.lod5photo.192x192/6147052.jpg,47,exact,XZ,16.204,16.204,3.2,shadow_stack,40.4,20.2,20.2,408.21
17101-1,6193782,6,Bright Orange,Plates,99781,"ANGULAR PLATE 1,5 TOP 1X2 1/2",/cdn/product-assets/element.img.lod5photo.192x192/6193782.jpg,39,exact,XZ,16.2,11.4,9.6,edge_magazine,42.0,20.2,16.0,323.2
17101-1,6240515,1,Bright Orange,Miscellaneous,31510,ELEMENT SEPARATOR,/cdn/product-assets/element.img.lod5photo.192x192/6240515.jpg,1143,design_alias,XZ,16.2,68.2,33.318,shadow_stack,35.32,20.2,72.2,1458.44
17101-1,6284582,22,Bright Orange,Plates,35381,"FLAT TILE 1X1, ROUND",/cdn/product-assets/element.img.lod5photo.192x192/6284582.jpg,69,design_alias,XZ,8.204,8.204,3.2,deep_counted_bin,42.0,16.0,16.0,256.0
17101-1,6102618,2,Bright Orange,Technic Beams,32523,TECHNIC 3M BEAM,/cdn/product-assets/element.img.lod5photo.192x192/6102618.jpg,22,exact,YZ,8.2,23.4,7.2,shadow_stack,16.4,16.0,27.4,438.4
17101-1,6135086,2,Bright Orange,Technic Beams,64289,TECHNIC 9M BEAM,/cdn/product-assets/element.img.lod5photo.192x192/6135086.jpg,15,exact,YZ,8.2,71.4,7.2,shadow_stack,16.4,16.0,75.4,1206.4
17101-1,6185551,39,Bright Orange,Vehicles & Transportation,24375,RUBBER ATTACHMENT FOR TRACK NO.2,/cdn/product-assets/element.img.lod5photo.192x192/6185551.jpg,10,exact,XZ,7.404,7.404,5.6,deep_counted_bin,42.0,16.0,16.0,256.0
17101-1,6261377,2,Bright Orange,Technic Beams,40146,CROSS BLOCK 90Â°,/cdn/product-assets/element.img.lod5photo.192x192/6261377.jpg,14,design_alias,YZ,15.402,8.2,8.0,shadow_stack,18.0,19.4,16.0,310.43
17101-1,6271874,2,Bright Orange,Connectors,42134,"ANGLE ELEMENT, 180 DEGREES [2]",/cdn/product-assets/element.img.lod5photo.192x192/6271874.jpg,19,design_alias,XZ,8.2,24.2,7.2,shadow_stack,16.4,16.0,28.2,451.2
17101-1,6278133,2,Bright Orange,Technic Beams,42165,TECHNIC ANGULAR BEAM 4X4,/cdn/product-assets/element.img.lod5photo.192x192/6278133.jpg,3,design_alias,XZ,26.565,45.767,8.0,shadow_stack,18.0,30.56,49.77,1521.11
17101-1,300121,1,Bright Red,Bricks,3001,BRICK 2X4,/cdn/product-assets/element.img.lod5photo.192x192/300121.jpg,685,exact,XZ,32.2,16.2,11.2,shadow_stack,13.2,36.2,20.2,731.24
17101-1,306821,1,Bright Red,Plates,3068,FLAT TILE 2X2,/cdn/cs/set/assets/bltfd19075b52f9271a/306821.jpg,441,exact,XZ,16.2,16.2,3.2,shadow_stack,5.2,20.2,20.2,408.04
17101-1,370921,2,Bright Red,Plates,3709,"PLATE 2X4, 3XÃ˜4.9",/cdn/product-assets/element.img.lod5photo.192x192/370921.jpg,100,exact,XZ,32.2,16.2,4.8,shadow_stack,11.6,36.2,20.2,731.24
17101-1,4560179,1,Bright Red,Plates,87079,FLAT TILE 2X4,/cdn/cs/set/assets/blt70d3d4009b41edbb/4560179.jpg,259,exact,XZ,32.2,16.2,3.2,shadow_stack,5.2,36.2,20.2,731.24
17101-1,6089698,4,Bright Red,Plates,99780,ANGULAR PLATE 1.5 BOT. 1X2 1/2,/cdn/cs/set/assets/bltb9ccb5ebc29282d7/6089698.jpg,191,exact,XZ,16.2,11.4,8.0,shadow_stack,34.0,20.2,16.0,323.2
17101-1,6135130,6,Bright Red,Bricks,22885,BRICK 1X2X1 2/3 W/4 KNOBS,/cdn/product-assets/element.img.lod5photo.192x192/6135130.jpg,136,exact,XY,16.2,17.8,9.6,edge_magazine,42.0,20.2,21.8,440.36
17101-1,6196217,4,Bright Red,Bricks,31493,BRICK 1X2 WITH CROSS HOLE,/cdn/product-assets/element.img.lod5photo.192x192/6196217.jpg,111,exact,XY,16.2,11.4,8.0,shadow_stack,34.0,20.2,16.0,323.2
17101-1,4142865,6,Bright Red,Connectors,32062,2M CROSS AXLE W. GROOVE,/cdn/product-assets/element.img.lod5photo.192x192/4142865.jpg,2128,exact,XZ,16.2,5.0,4.8,shadow_stack,30.8,20.2,16.0,323.2
17101-1,4513174,2,Bright Red,Connectors,59443,"CROSS AXLE, EXTENSION, 2M",/cdn/product-assets/element.img.lod5photo.192x192/4513174.jpg,236,exact,YZ,7.18,16.2,6.8,shadow_stack,15.6,16.0,20.2,323.2
17101-1,6129995,2,Bright Red,Connectors,3705,CROSS AXLE 4M,/cdn/product-assets/element.img.lod5photo.192x192/6129995.jpg,445,exact,XZ,32.2,5.0,4.8,shadow_stack,11.6,36.2,16.0,579.2
17101-1,6130005,1,Bright Red,Connectors,3737,CROSS AXLE 10M,/cdn/product-assets/element.img.lod5photo.192x192/6130005.jpg,57,exact,XZ,80.2,5.0,4.8,shadow_stack,6.8,84.2,16.0,1347.2
17101-1,6271820,4,Bright Red,Connectors,42798,BUSH FOR CROSS AXLE,/cdn/product-assets/element.img.lod5photo.192x192/6271820.jpg,293,design_alias,YZ,7.4,8.2,7.2,shadow_stack,30.8,16.0,16.0,256.0
17101-1,6331864,2,Bright Red,Technic Beams,61408,2X1X3 STEERING KNUCKLE ARM,/cdn/product-assets/element.img.lod5photo.192x192/6331864.jpg,25,relationship_alias,YZ,16.2,23.0,7.2,shadow_stack,16.4,20.2,27.0,545.4
17101-1,407024,4,Bright Yellow,Bricks,4070,ANGULAR BRICK 1X1,/cdn/cs/set/assets/blte7307ea5d6326058/407024.jpg,198,exact,XY,8.2,11.4,8.0,shadow_stack,34.0,16.0,16.0,256.0
